region,year,week,total_a,total_b,total_specimens,total_cases
Mountain,2016,31,5,0,553,5
Pacific,2016,31,3,1,765,4
New England,2016,32,0,0,177,0
Middle Atlantic,2016,32,0,0,881,0
East North Central,2016,32,3,0,761,3
West North Central,2016,32,0,0,506,0
South Atlantic,2016,32,8,20,1207,28
East South Central,2016,32,3,1,271,4
West South Central,2016,32,4,4,735,8
Mountain,2016,32,1,0,525,1
Pacific,2016,32,3,5,710,8
New England,2016,33,1,0,188,1
Middle Atlantic,2016,33,5,1,849,6
East North Central,2016,33,6,0,689,6
West North Central,2016,33,0,0,521,0
South Atlantic,2016,33,12,13,1264,25
East South Central,2016,33,1,0,284,1
West South Central,2016,33,2,6,769,8
Mountain,2016,33,0,0,574,0
Pacific,2016,33,0,1,836,1
New England,2016,34,0,0,172,0
Middle Atlantic,2016,34,0,1,772,1
East North Central,2016,34,2,1,839,3
West North Central,2016,34,0,0,532,0
South Atlantic,2016,34,21,17,1376,38
East South Central,2016,34,1,1,324,2
West South Central,2016,34,31,4,901,35
Mountain,2016,34,1,0,621,1
Pacific,2016,34,7,1,727,8
New England,2016,35,2,0,180,2
Middle Atlantic,2016,35,3,1,841,4
East North Central,2016,35,5,2,797,7
West North Central,2016,35,0,0,557,0
South Atlantic,2016,35,8,24,1465,32
East South Central,2016,35,1,2,397,3
West South Central,2016,35,45,12,1235,57
Mountain,2016,35,3,0,779,3
Pacific,2016,35,11,0,842,11
New England,2016,36,1,0,239,1
Middle Atlantic,2016,36,0,2,850,2
East North Central,2016,36,2,1,890,3
West North Central,2016,36,3,0,670,3
South Atlantic,2016,36,21,35,1766,56
East South Central,2016,36,0,0,404,0
West South Central,2016,36,20,17,1286,37
Mountain,2016,36,3,0,786,3
Pacific,2016,36,7,1,841,8
New England,2016,37,0,0,315,0
Middle Atlantic,2016,37,6,2,1035,8
East North Central,2016,37,8,4,1134,12
West North Central,2016,37,0,0,668,0
South Atlantic,2016,37,28,34,1811,62
East South Central,2016,37,6,2,450,8
West South Central,2016,37,10,15,1403,25
Mountain,2016,37,3,0,876,3
Pacific,2016,37,13,1,1035,14
New England,2016,38,2,0,415,2
Middle Atlantic,2016,38,2,1,1153,3
East North Central,2016,38,7,4,1143,11
West North Central,2016,38,4,1,762,5
South Atlantic,2016,38,38,36,1919,74
East South Central,2016,38,2,2,504,4
West South Central,2016,38,12,19,1468,31
Mountain,2016,38,4,0,856,4
Pacific,2016,38,26,4,1198,30
New England,2016,39,2,0,465,2
Middle Atlantic,2016,39,7,2,1313,9
East North Central,2016,39,7,3,1392,10
West North Central,2016,39,2,0,936,2
South Atlantic,2016,39,45,51,2244,96
East South Central,2016,39,1,3,559,4
West South Central,2016,39,15,18,1432,33
Mountain,2016,39,2,2,906,4
Pacific,2016,39,25,4,1349,29
New England,2016,40,5,1,654,6
Middle Atlantic,2016,40,10,4,1579,14
East North Central,2016,40,6,5,2176,11
West North Central,2016,40,3,0,1104,3
South Atlantic,2016,40,43,62,2785,105
East South Central,2016,40,4,4,844,8
West South Central,2016,40,21,13,1738,34
Mountain,2016,40,8,0,1067,8
Pacific,2016,40,20,1,1433,21
New England,2016,41,5,1,810,6
Middle Atlantic,2016,41,2,3,1580,5
East North Central,2016,41,8,7,2459,15
West North Central,2016,41,2,0,1144,2
South Atlantic,2016,41,38,40,2599,78
East South Central,2016,41,12,7,968,19
West South Central,2016,41,18,20,1852,38
Mountain,2016,41,9,3,1142,12
Pacific,2016,41,14,2,1499,16
New England,2016,42,1,0,870,1
Middle Atlantic,2016,42,17,1,2037,18
East North Central,2016,42,10,14,2578,24
West North Central,2016,42,4,2,1261,6
South Atlantic,2016,42,36,56,2852,92
East South Central,2016,42,6,7,973,13
West South Central,2016,42,11,12,1876,23
Mountain,2016,42,7,2,1197,9
Pacific,2016,42,23,3,1466,26
New England,2016,43,2,2,790,4
Middle Atlantic,2016,43,8,5,1998,13
East North Central,2016,43,5,4,2637,9
West North Central,2016,43,2,2,1355,4
South Atlantic,2016,43,35,47,2902,82
East South Central,2016,43,6,6,932,12
West South Central,2016,43,18,18,1908,36
Mountain,2016,43,13,0,1260,13
Pacific,2016,43,54,4,1530,58
New England,2016,44,10,3,790,13
Middle Atlantic,2016,44,15,2,2129,17
East North Central,2016,44,15,9,2890,24
West North Central,2016,44,6,2,1329,8
South Atlantic,2016,44,63,77,3344,140
East South Central,2016,44,16,11,1049,27
West South Central,2016,44,21,12,2059,33
Mountain,2016,44,14,1,1317,15
Pacific,2016,44,41,1,1745,42
New England,2016,45,7,2,883,9
Middle Atlantic,2016,45,21,3,2258,24
East North Central,2016,45,10,6,3134,16
West North Central,2016,45,2,0,1263,2
South Atlantic,2016,45,90,84,3401,174
East South Central,2016,45,6,2,1170,8
West South Central,2016,45,22,21,2360,43
Mountain,2016,45,26,0,1446,26
Pacific,2016,45,87,3,1896,90
New England,2016,46,12,1,919,13
Middle Atlantic,2016,46,27,6,2355,33
East North Central,2016,46,21,14,3157,35
West North Central,2016,46,8,3,1420,11
South Atlantic,2016,46,97,81,3747,178
East South Central,2016,46,16,9,1210,25
West South Central,2016,46,45,27,2730,72
Mountain,2016,46,21,1,1513,22
Pacific,2016,46,100,2,2009,102
New England,2016,47,8,4,915,12
Middle Atlantic,2016,47,41,5,2303,46
East North Central,2016,47,36,9,3023,45
West North Central,2016,47,14,2,1307,16
South Atlantic,2016,47,142,109,3791,251
East South Central,2016,47,17,11,1174,28
West South Central,2016,47,38,21,2491,59
Mountain,2016,47,40,1,1512,41
Pacific,2016,47,115,7,2004,122
New England,2016,48,29,3,1135,32
Middle Atlantic,2016,48,72,15,2787,87
East North Central,2016,48,31,11,3632,42
West North Central,2016,48,25,5,1614,30
South Atlantic,2016,48,151,96,4144,247
East South Central,2016,48,23,17,1356,40
West South Central,2016,48,31,27,2786,58
Mountain,2016,48,58,0,1775,58
Pacific,2016,48,112,9,2313,121
New England,2016,49,18,5,1042,23
Middle Atlantic,2016,49,75,5,2248,80
East North Central,2016,49,66,20,3629,86
West North Central,2016,49,25,1,1620,26
South Atlantic,2016,49,216,94,4133,310
East South Central,2016,49,25,10,1326,35
West South Central,2016,49,55,31,2619,86
Mountain,2016,49,68,4,1619,72
Pacific,2016,49,148,10,2328,158
New England,2016,50,40,4,1115,44
Middle Atlantic,2016,50,160,10,2913,170
East North Central,2016,50,94,19,3880,113
West North Central,2016,50,43,2,1591,45
South Atlantic,2016,50,394,123,4435,517
East South Central,2016,50,45,13,1498,58
West South Central,2016,50,132,28,3168,160
Mountain,2016,50,144,2,2105,146
Pacific,2016,50,307,9,2771,316
New England,2016,51,96,9,1291,105
Middle Atlantic,2016,51,394,26,3454,420
East North Central,2016,51,180,39,4166,219
West North Central,2016,51,91,7,1761,98
South Atlantic,2016,51,637,148,5370,785
East South Central,2016,51,71,18,1752,89
West South Central,2016,51,211,73,3305,284
Mountain,2016,51,342,10,2522,352
Pacific,2016,51,541,11,3313,552
New England,2016,52,234,13,1951,247
Middle Atlantic,2016,52,846,30,4501,876
East North Central,2016,52,355,52,5181,407
West North Central,2016,52,152,10,2099,162
South Atlantic,2016,52,702,140,5808,842
East South Central,2016,52,116,28,1856,144
West South Central,2016,52,265,75,4082,340
Mountain,2016,52,552,11,3153,563
Pacific,2016,52,1048,29,4642,1077
New England,2017,1,223,20,2070,243
Middle Atlantic,2017,1,796,39,5052,835
East North Central,2017,1,425,67,5669,492
West North Central,2017,1,190,13,2285,203
South Atlantic,2017,1,559,119,5491,678
East South Central,2017,1,93,19,1693,112
West South Central,2017,1,298,82,3901,380
Mountain,2017,1,459,5,3396,464
Pacific,2017,1,1245,22,5471,1267
New England,2017,2,300,16,2145,316
Middle Atlantic,2017,2,966,73,5287,1039
East North Central,2017,2,574,101,5842,675
West North Central,2017,2,291,26,2612,317
South Atlantic,2017,2,528,108,4810,636
East South Central,2017,2,115,26,1530,141
West South Central,2017,2,444,95,4032,539
Mountain,2017,2,468,7,3337,475
Pacific,2017,2,1249,24,5603,1273
New England,2017,3,388,22,2310,410
Middle Atlantic,2017,3,1237,80,5429,1317
East North Central,2017,3,784,150,6277,934
West North Central,2017,3,427,31,2710,458
South Atlantic,2017,3,912,177,5817,1089
East South Central,2017,3,134,29,1465,163
West South Central,2017,3,574,116,4185,690
Mountain,2017,3,432,10,3114,442
Pacific,2017,3,1174,40,5425,1214
New England,2017,4,445,25,2615,470
Middle Atlantic,2017,4,1433,106,5985,1539
East North Central,2017,4,886,219,6466,1105
West North Central,2017,4,443,34,2842,477
South Atlantic,2017,4,899,211,5757,1110
East South Central,2017,4,135,21,1494,156
West South Central,2017,4,701,113,4727,814
Mountain,2017,4,425,19,3209,444
Pacific,2017,4,887,49,4957,936
New England,2017,5,552,31,2580,583
Middle Atlantic,2017,5,1597,110,6125,1707
